ASCII Trace IXXAT MiniMon V3  Version: 1.1.2.4268
Date: 12/4/2019
Start time: 4:34:02 PM
Stop time: 4:34:09 PM
Overruns: 0  Errorframes: 0                                          
Baudrate: 125 kbit/s
"Time","Identifier (hex)","Format","Flags","Data (hex)"
"00:00:42.163","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.167","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.171","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.175","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.179","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.183","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.187","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.191","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.195","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.199","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.204","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.208","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.212","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.216","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.220","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.224","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.228","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.232","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.236","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.240","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.244","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.249","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.253","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.257","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.261","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.265","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.269","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.273","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.277","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.281","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.285","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.289","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.294","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.298","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.302","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.306","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.310","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.314","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.318","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.322","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.326","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.330","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.335","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.339","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.343","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.347","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.351","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.355","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.359","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.363","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.367","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.371","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.375","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.380","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.384","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.388","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.392","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.396","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.400","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.404","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.408","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.412","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.416","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.420","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.425","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.429","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.433","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.437","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.441","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.445","CC","Std","","00 1A 00 1A 00 96 09 09"
